Line 1: 3 words, 24 characters
Line 2: 15 words, 135 characters
Line 3: 20 words, 162 characters
Line 4: 12 words, 107 characters
Line 5: 7 words, 51 characters
Line 6: 0 words, 0 characters
Line 7: 4 words, 31 characters
Line 8: 0 words, 0 characters
Line 9: 1 words, 5 characters
Line 10: 11 words, 80 characters
Line 11: 14 words, 135 characters
Line 12: 16 words, 140 characters
Line 13: 17 words, 135 characters
Line 14: 1 words, 12 characters
Line 15: 12 words, 105 characters
Line 16: 11 words, 93 characters
Line 17: 20 words, 178 characters
Line 18: 19 words, 164 characters
Line 19: 15 words, 141 characters
Line 20: 3 words, 28 characters
Line 21: 3 words, 21 characters
Line 22: 4 words, 42 characters
Line 23: 17 words, 128 characters
Line 24: 18 words, 150 characters
Line 25: 20 words, 168 characters
Line 26: 1 words, 7 characters
Line 27: 11 words, 83 characters
Line 28: 15 words, 145 characters
Line 29: 16 words, 144 characters
Line 30: 7 words, 55 characters
Line 31: 11 words, 88 characters
Line 32: 15 words, 138 characters
Line 33: 14 words, 126 characters
Line 34: 17 words, 132 characters
Line 35: 5 words, 50 characters
Line 36: 1 words, 5 characters
Line 37: 3 words, 29 characters
Line 38: 4 words, 25 characters
Line 39: 1 words, 8 characters
Line 40: 2 words, 22 characters
Line 41: 7 words, 61 characters
Line 42: 8 words, 78 characters
Line 43: 10 words, 97 characters
Line 44: 15 words, 132 characters
Line 45: 3 words, 22 characters
Line 46: 20 words, 201 characters
Line 47: 16 words, 137 characters
Line 48: 10 words, 98 characters
Line 49: 0 words, 0 characters
Line 50: 13 words, 125 characters
Line 51: 3 words, 22 characters
Line 52: 14 words, 124 characters
Line 53: 16 words, 142 characters
Line 54: 8 words, 79 characters
Line 55: 19 words, 164 characters
Line 56: 8 words, 64 characters
Line 57: 12 words, 105 characters
Line 58: 18 words, 125 characters
Line 59: 13 words, 109 characters
Line 60: 18 words, 162 characters
Line 61: 10 words, 91 characters
Line 62: 20 words, 176 characters
Line 63: 20 words, 169 characters
Line 64: 18 words, 180 characters
Line 65: 13 words, 106 characters
Line 66: 6 words, 45 characters
Line 67: 10 words, 97 characters
Line 68: 9 words, 76 characters
Line 69: 0 words, 0 characters
Line 70: 15 words, 121 characters
Line 71: 2 words, 21 characters
Line 72: 5 words, 35 characters
