Line 1: 0 words, 0 characters
Line 2: 2 words, 12 characters
Line 3: 4 words, 36 characters
Line 4: 3 words, 19 characters
Line 5: 17 words, 169 characters
Line 6: 0 words, 0 characters
Line 7: 14 words, 112 characters
Line 8: 13 words, 112 characters
Line 9: 9 words, 59 characters
Line 10: 19 words, 177 characters
Line 11: 13 words, 112 characters
Line 12: 17 words, 145 characters
Line 13: 20 words, 140 characters
Line 14: 14 words, 103 characters
Line 15: 9 words, 75 characters
Line 16: 9 words, 75 characters
Line 17: 7 words, 70 characters
Line 18: 8 words, 66 characters
Line 19: 2 words, 12 characters
Line 20: 18 words, 147 characters
Line 21: 17 words, 135 characters
Line 22: 16 words, 143 characters
Line 23: 20 words, 172 characters
Line 24: 15 words, 132 characters
Line 25: 2 words, 20 characters
Line 26: 15 words, 117 characters
Line 27: 12 words, 113 characters
Line 28: 7 words, 40 characters
Line 29: 18 words, 156 characters
Line 30: 9 words, 65 characters
Line 31: 0 words, 0 characters
Line 32: 4 words, 29 characters
Line 33: 0 words, 0 characters
Line 34: 14 words, 123 characters
Line 35: 5 words, 39 characters
Line 36: 4 words, 32 characters
Line 37: 10 words, 98 characters
Line 38: 13 words, 108 characters
Line 39: 12 words, 100 characters
Line 40: 18 words, 138 characters
Line 41: 17 words, 138 characters
Line 42: 5 words, 47 characters
Line 43: 12 words, 125 characters
Line 44: 4 words, 31 characters
Line 45: 9 words, 59 characters
Line 46: 3 words, 31 characters
Line 47: 3 words, 18 characters
Line 48: 16 words, 134 characters
Line 49: 13 words, 99 characters
Line 50: 2 words, 15 characters
Line 51: 7 words, 55 characters
Line 52: 15 words, 133 characters
Line 53: 12 words, 102 characters
Line 54: 1 words, 4 characters
Line 55: 9 words, 73 characters
Line 56: 10 words, 95 characters
Line 57: 17 words, 147 characters
Line 58: 12 words, 109 characters
Line 59: 6 words, 49 characters
Line 60: 20 words, 169 characters
Line 61: 15 words, 115 characters
Line 62: 17 words, 137 characters
Line 63: 7 words, 46 characters
Line 64: 6 words, 57 characters
Line 65: 14 words, 125 characters
Line 66: 3 words, 29 characters
Line 67: 15 words, 117 characters
Line 68: 12 words, 108 characters
Line 69: 2 words, 11 characters
Line 70: 15 words, 118 characters
Line 71: 8 words, 61 characters
Line 72: 0 words, 0 characters
Line 73: 20 words, 165 characters
Line 74: 3 words, 18 characters
Line 75: 18 words, 146 characters
Line 76: 17 words, 149 characters
Line 77: 20 words, 150 characters
Line 78: 17 words, 143 characters
Line 79: 14 words, 111 characters
Line 80: 17 words, 159 characters
Line 81: 10 words, 99 characters
Line 82: 16 words, 131 characters
Line 83: 13 words, 112 characters
Line 84: 6 words, 51 characters
Line 85: 10 words, 87 characters
Line 86: 3 words, 17 characters
Line 87: 4 words, 31 characters
Line 88: 8 words, 74 characters
Line 89: 4 words, 35 characters
Line 90: 12 words, 111 characters
Line 91: 13 words, 97 characters
Line 92: 11 words, 74 characters
Line 93: 13 words, 90 characters
Line 94: 1 words, 4 characters
Line 95: 10 words, 83 characters
Line 96: 12 words, 111 characters
Line 97: 9 words, 80 characters
Line 98: 5 words, 44 characters
Line 99: 6 words, 31 characters
Line 100: 20 words, 173 characters
Line 101: 13 words, 114 characters
Line 102: 8 words, 71 characters
Line 103: 8 words, 74 characters
Line 104: 5 words, 36 characters
Line 105: 10 words, 85 characters
Line 106: 5 words, 35 characters
Line 107: 8 words, 68 characters
Line 108: 13 words, 105 characters
Line 109: 18 words, 144 characters
Line 110: 3 words, 24 characters
Line 111: 3 words, 28 characters
Line 112: 17 words, 133 characters
Line 113: 15 words, 137 characters
Line 114: 15 words, 117 characters
Line 115: 13 words, 90 characters
Line 116: 18 words, 137 characters
Line 117: 7 words, 63 characters
Line 118: 8 words, 64 characters
Line 119: 19 words, 154 characters
Line 120: 9 words, 78 characters
Line 121: 12 words, 97 characters
Line 122: 1 words, 10 characters
Line 123: 7 words, 51 characters
Line 124: 3 words, 21 characters
Line 125: 2 words, 8 characters
Line 126: 20 words, 172 characters
Line 127: 2 words, 14 characters
Line 128: 11 words, 98 characters
Line 129: 6 words, 48 characters
Line 130: 14 words, 107 characters
Line 131: 5 words, 50 characters
Line 132: 9 words, 86 characters
Line 133: 4 words, 32 characters
Line 134: 4 words, 24 characters
Line 135: 2 words, 10 characters
Line 136: 18 words, 154 characters
Line 137: 8 words, 65 characters
Line 138: 12 words, 99 characters
Line 139: 16 words, 151 characters
Line 140: 5 words, 46 characters
Line 141: 14 words, 116 characters
Line 142: 0 words, 0 characters
Line 143: 20 words, 160 characters
Line 144: 19 words, 162 characters
Line 145: 6 words, 58 characters
Line 146: 11 words, 91 characters
Line 147: 16 words, 134 characters
Line 148: 8 words, 66 characters
Line 149: 1 words, 10 characters
Line 150: 9 words, 82 characters
Line 151: 7 words, 60 characters
Line 152: 18 words, 145 characters
Line 153: 9 words, 79 characters
Line 154: 5 words, 49 characters
Line 155: 15 words, 140 characters
Line 156: 5 words, 36 characters
Line 157: 7 words, 69 characters
Line 158: 1 words, 9 characters
Line 159: 1 words, 3 characters
Line 160: 10 words, 75 characters
Line 161: 3 words, 28 characters
Line 162: 15 words, 146 characters
Line 163: 8 words, 69 characters
Line 164: 5 words, 33 characters
Line 165: 6 words, 63 characters
Line 166: 16 words, 151 characters
Line 167: 9 words, 62 characters
Line 168: 19 words, 169 characters
Line 169: 17 words, 136 characters
Line 170: 14 words, 97 characters
Line 171: 13 words, 121 characters
Line 172: 7 words, 52 characters
Line 173: 16 words, 139 characters
Line 174: 13 words, 108 characters
Line 175: 12 words, 101 characters
Line 176: 5 words, 43 characters
Line 177: 5 words, 37 characters
Line 178: 8 words, 70 characters
Line 179: 11 words, 103 characters
Line 180: 20 words, 177 characters
Line 181: 16 words, 123 characters
Line 182: 15 words, 130 characters
Line 183: 0 words, 0 characters
Line 184: 3 words, 31 characters
Line 185: 1 words, 10 characters
Line 186: 11 words, 84 characters
Line 187: 12 words, 98 characters
Line 188: 20 words, 167 characters
Line 189: 0 words, 0 characters
Line 190: 1 words, 11 characters
Line 191: 17 words, 135 characters
Line 192: 2 words, 13 characters
Line 193: 14 words, 125 characters
Line 194: 18 words, 169 characters
Line 195: 16 words, 124 characters
Line 196: 16 words, 138 characters
Line 197: 17 words, 142 characters
Line 198: 0 words, 0 characters
Line 199: 0 words, 0 characters
Line 200: 7 words, 49 characters
Line 201: 5 words, 33 characters
Line 202: 10 words, 82 characters
Line 203: 0 words, 0 characters
Line 204: 9 words, 81 characters
Line 205: 18 words, 162 characters
Line 206: 10 words, 89 characters
Line 207: 6 words, 63 characters
Line 208: 18 words, 143 characters
Line 209: 12 words, 92 characters
Line 210: 2 words, 16 characters
Line 211: 0 words, 0 characters
Line 212: 20 words, 167 characters
Line 213: 17 words, 137 characters
Line 214: 11 words, 95 characters
Line 215: 10 words, 93 characters
Line 216: 20 words, 163 characters
Line 217: 3 words, 22 characters
Line 218: 6 words, 53 characters
Line 219: 5 words, 35 characters
Line 220: 10 words, 70 characters
Line 221: 13 words, 110 characters
Line 222: 15 words, 126 characters
Line 223: 9 words, 80 characters
Line 224: 6 words, 44 characters
Line 225: 8 words, 69 characters
Line 226: 12 words, 109 characters
Line 227: 9 words, 64 characters
Line 228: 11 words, 109 characters
Line 229: 0 words, 0 characters
Line 230: 5 words, 36 characters
Line 231: 20 words, 178 characters
Line 232: 3 words, 32 characters
Line 233: 16 words, 144 characters
Line 234: 12 words, 102 characters
Line 235: 19 words, 187 characters
Line 236: 18 words, 161 characters
Line 237: 6 words, 51 characters
Line 238: 15 words, 146 characters
Line 239: 11 words, 110 characters
Line 240: 4 words, 31 characters
Line 241: 3 words, 21 characters
Line 242: 20 words, 175 characters
Line 243: 2 words, 20 characters
Line 244: 16 words, 147 characters
Line 245: 7 words, 59 characters
Line 246: 11 words, 92 characters
Line 247: 18 words, 145 characters
Line 248: 3 words, 14 characters
Line 249: 19 words, 138 characters
Line 250: 1 words, 5 characters
Line 251: 20 words, 166 characters
Line 252: 10 words, 79 characters
Line 253: 12 words, 95 characters
Line 254: 7 words, 68 characters
Line 255: 17 words, 158 characters
Line 256: 4 words, 21 characters
Line 257: 16 words, 143 characters
Line 258: 5 words, 48 characters
Line 259: 6 words, 59 characters
Line 260: 11 words, 75 characters
Line 261: 20 words, 183 characters
Line 262: 5 words, 45 characters
Line 263: 17 words, 135 characters
Line 264: 0 words, 0 characters
Line 265: 3 words, 27 characters
Line 266: 14 words, 120 characters
Line 267: 0 words, 0 characters
Line 268: 19 words, 162 characters
Line 269: 2 words, 19 characters
Line 270: 0 words, 0 characters
Line 271: 17 words, 146 characters
Line 272: 16 words, 128 characters
Line 273: 6 words, 49 characters
Line 274: 12 words, 111 characters
Line 275: 10 words, 90 characters
Line 276: 16 words, 116 characters
Line 277: 16 words, 119 characters
Line 278: 8 words, 56 characters
Line 279: 9 words, 67 characters
Line 280: 18 words, 169 characters
Line 281: 6 words, 57 characters
Line 282: 7 words, 55 characters
Line 283: 11 words, 84 characters
Line 284: 13 words, 101 characters
Line 285: 14 words, 108 characters
Line 286: 3 words, 31 characters
Line 287: 13 words, 134 characters
Line 288: 2 words, 12 characters
Line 289: 9 words, 70 characters
Line 290: 10 words, 75 characters
Line 291: 2 words, 11 characters
Line 292: 20 words, 153 characters
Line 293: 5 words, 40 characters
Line 294: 20 words, 152 characters
Line 295: 6 words, 31 characters
Line 296: 8 words, 60 characters
Line 297: 11 words, 107 characters
Line 298: 7 words, 62 characters
Line 299: 20 words, 163 characters
Line 300: 0 words, 0 characters
Line 301: 20 words, 167 characters
Line 302: 0 words, 0 characters
Line 303: 1 words, 8 characters
Line 304: 7 words, 60 characters
Line 305: 6 words, 38 characters
Line 306: 20 words, 136 characters
Line 307: 18 words, 137 characters
Line 308: 1 words, 9 characters
Line 309: 0 words, 0 characters
Line 310: 13 words, 119 characters
Line 311: 7 words, 58 characters
Line 312: 4 words, 33 characters
Line 313: 8 words, 79 characters
Line 314: 5 words, 34 characters
Line 315: 10 words, 80 characters
Line 316: 9 words, 56 characters
Line 317: 0 words, 0 characters
Line 318: 19 words, 161 characters
Line 319: 15 words, 120 characters
Line 320: 2 words, 19 characters
Line 321: 8 words, 68 characters
Line 322: 9 words, 73 characters
Line 323: 6 words, 66 characters
Line 324: 5 words, 55 characters
Line 325: 18 words, 137 characters
Line 326: 3 words, 21 characters
Line 327: 11 words, 82 characters
Line 328: 12 words, 108 characters
Line 329: 13 words, 98 characters
Line 330: 19 words, 178 characters
Line 331: 19 words, 165 characters
Line 332: 7 words, 57 characters
Line 333: 6 words, 51 characters
Line 334: 14 words, 115 characters
Line 335: 3 words, 23 characters
Line 336: 11 words, 84 characters
Line 337: 11 words, 93 characters
Line 338: 10 words, 80 characters
Line 339: 6 words, 39 characters
Line 340: 9 words, 72 characters
Line 341: 0 words, 0 characters
Line 342: 8 words, 66 characters
Line 343: 17 words, 154 characters
Line 344: 1 words, 4 characters
Line 345: 10 words, 104 characters
Line 346: 2 words, 16 characters
Line 347: 1 words, 10 characters
Line 348: 15 words, 129 characters
Line 349: 20 words, 159 characters
Line 350: 6 words, 45 characters
Line 351: 1 words, 9 characters
Line 352: 0 words, 0 characters
Line 353: 19 words, 176 characters
Line 354: 8 words, 64 characters
Line 355: 17 words, 149 characters
Line 356: 7 words, 53 characters
Line 357: 5 words, 39 characters
Line 358: 10 words, 81 characters
Line 359: 14 words, 133 characters
Line 360: 10 words, 96 characters
Line 361: 12 words, 95 characters
Line 362: 6 words, 56 characters
Line 363: 0 words, 0 characters
Line 364: 0 words, 0 characters
Line 365: 1 words, 7 characters
Line 366: 16 words, 126 characters
Line 367: 0 words, 0 characters
Line 368: 16 words, 133 characters
Line 369: 7 words, 60 characters
Line 370: 1 words, 7 characters
Line 371: 17 words, 157 characters
Line 372: 13 words, 121 characters
Line 373: 15 words, 150 characters
Line 374: 3 words, 19 characters
Line 375: 3 words, 19 characters
Line 376: 1 words, 3 characters
Line 377: 1 words, 10 characters
Line 378: 19 words, 161 characters
Line 379: 15 words, 134 characters
Line 380: 10 words, 77 characters
Line 381: 7 words, 47 characters
Line 382: 2 words, 17 characters
Line 383: 16 words, 137 characters
Line 384: 2 words, 17 characters
Line 385: 8 words, 81 characters
Line 386: 17 words, 139 characters
