Line 1: 12 words, 81 characters
Line 2: 16 words, 116 characters
Line 3: 1 words, 7 characters
Line 4: 7 words, 50 characters
Line 5: 1 words, 11 characters
Line 6: 0 words, 0 characters
Line 7: 10 words, 90 characters
Line 8: 15 words, 122 characters
Line 9: 15 words, 108 characters
Line 10: 13 words, 109 characters
Line 11: 1 words, 4 characters
Line 12: 12 words, 103 characters
Line 13: 6 words, 50 characters
Line 14: 1 words, 12 characters
Line 15: 20 words, 175 characters
Line 16: 18 words, 137 characters
Line 17: 9 words, 65 characters
Line 18: 1 words, 11 characters
Line 19: 9 words, 70 characters
Line 20: 4 words, 35 characters
Line 21: 11 words, 104 characters
Line 22: 13 words, 126 characters
Line 23: 1 words, 10 characters
Line 24: 4 words, 38 characters
Line 25: 19 words, 151 characters
Line 26: 5 words, 34 characters
Line 27: 1 words, 3 characters
Line 28: 5 words, 41 characters
Line 29: 14 words, 124 characters
Line 30: 4 words, 32 characters
Line 31: 4 words, 39 characters
Line 32: 10 words, 76 characters
Line 33: 18 words, 135 characters
Line 34: 3 words, 27 characters
Line 35: 5 words, 38 characters
Line 36: 7 words, 55 characters
Line 37: 8 words, 66 characters
Line 38: 13 words, 101 characters
Line 39: 12 words, 116 characters
Line 40: 13 words, 117 characters
Line 41: 19 words, 164 characters
Line 42: 19 words, 167 characters
Line 43: 4 words, 26 characters
Line 44: 0 words, 0 characters
Line 45: 17 words, 144 characters
Line 46: 13 words, 98 characters
Line 47: 12 words, 112 characters
Line 48: 18 words, 148 characters
Line 49: 14 words, 120 characters
Line 50: 13 words, 91 characters
Line 51: 5 words, 44 characters
Line 52: 3 words, 25 characters
Line 53: 17 words, 144 characters
Line 54: 0 words, 0 characters
Line 55: 10 words, 98 characters
Line 56: 6 words, 44 characters
Line 57: 18 words, 128 characters
Line 58: 4 words, 37 characters
Line 59: 9 words, 62 characters
Line 60: 15 words, 136 characters
Line 61: 9 words, 77 characters
Line 62: 12 words, 91 characters
Line 63: 8 words, 62 characters
Line 64: 4 words, 45 characters
Line 65: 13 words, 112 characters
Line 66: 2 words, 12 characters
Line 67: 2 words, 14 characters
Line 68: 19 words, 131 characters
Line 69: 3 words, 14 characters
Line 70: 4 words, 20 characters
Line 71: 10 words, 97 characters
Line 72: 3 words, 31 characters
Line 73: 6 words, 43 characters
Line 74: 4 words, 37 characters
Line 75: 16 words, 139 characters
Line 76: 13 words, 92 characters
Line 77: 5 words, 48 characters
Line 78: 2 words, 17 characters
Line 79: 4 words, 39 characters
Line 80: 2 words, 11 characters
Line 81: 16 words, 159 characters
Line 82: 18 words, 157 characters
Line 83: 4 words, 29 characters
Line 84: 20 words, 169 characters
Line 85: 4 words, 33 characters
Line 86: 2 words, 22 characters
Line 87: 11 words, 105 characters
Line 88: 0 words, 0 characters
Line 89: 9 words, 62 characters
Line 90: 20 words, 191 characters
Line 91: 18 words, 157 characters
Line 92: 15 words, 138 characters
Line 93: 20 words, 188 characters
Line 94: 4 words, 31 characters
Line 95: 9 words, 81 characters
Line 96: 16 words, 120 characters
Line 97: 5 words, 38 characters
Line 98: 13 words, 107 characters
Line 99: 10 words, 82 characters
Line 100: 5 words, 38 characters
Line 101: 7 words, 57 characters
Line 102: 20 words, 181 characters
Line 103: 17 words, 157 characters
Line 104: 10 words, 81 characters
Line 105: 8 words, 62 characters
Line 106: 1 words, 12 characters
Line 107: 15 words, 106 characters
Line 108: 20 words, 159 characters
Line 109: 8 words, 64 characters
Line 110: 4 words, 36 characters
Line 111: 17 words, 157 characters
Line 112: 11 words, 71 characters
Line 113: 2 words, 19 characters
Line 114: 5 words, 39 characters
Line 115: 14 words, 113 characters
Line 116: 18 words, 151 characters
Line 117: 18 words, 135 characters
Line 118: 3 words, 25 characters
Line 119: 14 words, 121 characters
Line 120: 3 words, 27 characters
Line 121: 1 words, 12 characters
Line 122: 3 words, 30 characters
Line 123: 12 words, 97 characters
Line 124: 15 words, 126 characters
Line 125: 11 words, 88 characters
Line 126: 13 words, 124 characters
Line 127: 3 words, 17 characters
Line 128: 20 words, 151 characters
Line 129: 1 words, 8 characters
Line 130: 20 words, 162 characters
Line 131: 9 words, 73 characters
Line 132: 4 words, 43 characters
Line 133: 20 words, 175 characters
Line 134: 1 words, 6 characters
Line 135: 17 words, 148 characters
Line 136: 11 words, 94 characters
Line 137: 19 words, 166 characters
Line 138: 2 words, 19 characters
Line 139: 13 words, 103 characters
Line 140: 17 words, 130 characters
Line 141: 0 words, 0 characters
Line 142: 3 words, 31 characters
Line 143: 0 words, 0 characters
Line 144: 15 words, 121 characters
Line 145: 3 words, 30 characters
Line 146: 15 words, 119 characters
Line 147: 19 words, 165 characters
Line 148: 16 words, 148 characters
Line 149: 13 words, 106 characters
Line 150: 15 words, 134 characters
Line 151: 0 words, 0 characters
Line 152: 4 words, 39 characters
Line 153: 11 words, 76 characters
Line 154: 0 words, 0 characters
Line 155: 16 words, 118 characters
Line 156: 0 words, 0 characters
Line 157: 2 words, 13 characters
Line 158: 0 words, 0 characters
Line 159: 17 words, 146 characters
Line 160: 3 words, 35 characters
Line 161: 14 words, 129 characters
Total: 161 lines, 1510 words, 12571 characters
