Line 1: 1 words, 11 characters
Line 2: 7 words, 53 characters
Line 3: 8 words, 68 characters
Line 4: 17 words, 132 characters
Line 5: 6 words, 37 characters
Line 6: 13 words, 116 characters
Line 7: 19 words, 181 characters
Line 8: 0 words, 0 characters
Line 9: 20 words, 164 characters
Line 10: 6 words, 49 characters
Line 11: 18 words, 160 characters
Line 12: 7 words, 68 characters
Line 13: 1 words, 12 characters
Line 14: 19 words, 144 characters
Line 15: 2 words, 14 characters
Line 16: 13 words, 99 characters
Line 17: 7 words, 53 characters
Line 18: 13 words, 110 characters
Line 19: 15 words, 115 characters
Line 20: 17 words, 149 characters
Line 21: 0 words, 0 characters
Line 22: 4 words, 22 characters
Line 23: 0 words, 0 characters
Line 24: 2 words, 24 characters
Line 25: 20 words, 170 characters
Line 26: 19 words, 154 characters
Line 27: 15 words, 125 characters
Line 28: 5 words, 46 characters
Line 29: 18 words, 167 characters
Line 30: 1 words, 3 characters
Line 31: 17 words, 129 characters
Line 32: 20 words, 177 characters
Line 33: 16 words, 138 characters
Line 34: 0 words, 0 characters
Line 35: 13 words, 99 characters
Line 36: 9 words, 69 characters
Line 37: 12 words, 82 characters
Line 38: 2 words, 18 characters
Line 39: 17 words, 144 characters
Line 40: 20 words, 178 characters
Line 41: 20 words, 173 characters
Line 42: 16 words, 136 characters
Line 43: 13 words, 116 characters
Line 44: 7 words, 51 characters
Line 45: 17 words, 151 characters
Line 46: 13 words, 112 characters
Line 47: 12 words, 106 characters
Line 48: 0 words, 0 characters
Line 49: 6 words, 50 characters
Line 50: 7 words, 52 characters
Line 51: 6 words, 50 characters
Line 52: 20 words, 168 characters
Line 53: 0 words, 0 characters
Line 54: 10 words, 76 characters
Line 55: 3 words, 34 characters
Line 56: 15 words, 117 characters
Line 57: 6 words, 50 characters
Line 58: 7 words, 58 characters
Line 59: 4 words, 31 characters
Line 60: 13 words, 117 characters
Line 61: 8 words, 66 characters
Line 62: 5 words, 40 characters
Line 63: 4 words, 35 characters
Line 64: 13 words, 133 characters
Line 65: 15 words, 126 characters
Line 66: 9 words, 65 characters
Line 67: 6 words, 41 characters
Line 68: 16 words, 123 characters
Line 69: 15 words, 126 characters
Line 70: 0 words, 0 characters
Line 71: 7 words, 65 characters
Line 72: 16 words, 135 characters
Line 73: 1 words, 7 characters
Line 74: 8 words, 52 characters
Line 75: 7 words, 42 characters
Line 76: 7 words, 68 characters
Line 77: 14 words, 125 characters
Line 78: 5 words, 30 characters
Line 79: 6 words, 41 characters
Line 80: 20 words, 168 characters
Line 81: 5 words, 45 characters
Line 82: 11 words, 98 characters
Line 83: 3 words, 28 characters
Line 84: 14 words, 122 characters
Line 85: 4 words, 34 characters
Line 86: 8 words, 77 characters
Line 87: 3 words, 26 characters
Line 88: 16 words, 138 characters
Line 89: 20 words, 163 characters
Line 90: 10 words, 93 characters
Line 91: 16 words, 173 characters
Line 92: 3 words, 18 characters
Line 93: 18 words, 138 characters
Line 94: 11 words, 83 characters
Line 95: 5 words, 32 characters
Line 96: 8 words, 57 characters
Line 97: 12 words, 96 characters
Line 98: 18 words, 149 characters
Line 99: 4 words, 26 characters
Line 100: 6 words, 54 characters
Line 101: 14 words, 123 characters
Line 102: 15 words, 135 characters
Line 103: 19 words, 164 characters
Line 104: 5 words, 45 characters
Line 105: 5 words, 41 characters
Line 106: 16 words, 141 characters
Line 107: 11 words, 83 characters
Line 108: 11 words, 87 characters
Line 109: 0 words, 0 characters
Line 110: 18 words, 160 characters
Line 111: 7 words, 52 characters
Line 112: 19 words, 160 characters
Line 113: 13 words, 114 characters
Line 114: 3 words, 23 characters
Line 115: 20 words, 161 characters
Line 116: 5 words, 40 characters
Line 117: 4 words, 41 characters
Line 118: 13 words, 111 characters
Line 119: 8 words, 61 characters
Line 120: 6 words, 47 characters
Line 121: 11 words, 92 characters
Line 122: 1 words, 10 characters
Line 123: 13 words, 122 characters
Line 124: 4 words, 43 characters
Line 125: 0 words, 0 characters
Line 126: 12 words, 124 characters
Line 127: 13 words, 108 characters
Line 128: 6 words, 48 characters
Line 129: 18 words, 135 characters
Line 130: 3 words, 18 characters
Line 131: 18 words, 143 characters
Line 132: 13 words, 120 characters
Line 133: 0 words, 0 characters
Line 134: 19 words, 161 characters
Line 135: 12 words, 99 characters
