Line 1: 1 words, 3 characters
Line 2: 20 words, 157 characters
Line 3: 18 words, 161 characters
Line 4: 14 words, 120 characters
Line 5: 6 words, 63 characters
Line 6: 11 words, 84 characters
Line 7: 11 words, 93 characters
Line 8: 5 words, 50 characters
Line 9: 19 words, 164 characters
Line 10: 6 words, 61 characters
Line 11: 1 words, 10 characters
Line 12: 8 words, 68 characters
Line 13: 17 words, 150 characters
Line 14: 5 words, 36 characters
Line 15: 16 words, 134 characters
Line 16: 1 words, 5 characters
Line 17: 5 words, 42 characters
Line 18: 0 words, 0 characters
Line 19: 8 words, 63 characters
Line 20: 3 words, 22 characters
Line 21: 19 words, 155 characters
Line 22: 4 words, 33 characters
Line 23: 14 words, 123 characters
Line 24: 12 words, 106 characters
Line 25: 15 words, 129 characters
Line 26: 12 words, 110 characters
Line 27: 17 words, 155 characters
Line 28: 3 words, 26 characters
Line 29: 4 words, 29 characters
Line 30: 13 words, 110 characters
Line 31: 7 words, 41 characters
Line 32: 5 words, 31 characters
Line 33: 10 words, 75 characters
Line 34: 7 words, 58 characters
Line 35: 3 words, 19 characters
Line 36: 11 words, 73 characters
Line 37: 4 words, 30 characters
Line 38: 11 words, 90 characters
Line 39: 4 words, 31 characters
Line 40: 16 words, 131 characters
Line 41: 11 words, 88 characters
Line 42: 13 words, 103 characters
Line 43: 7 words, 47 characters
Line 44: 15 words, 138 characters
Line 45: 1 words, 11 characters
Line 46: 10 words, 90 characters
Line 47: 7 words, 56 characters
Line 48: 3 words, 36 characters
Line 49: 2 words, 9 characters
Line 50: 18 words, 148 characters
Line 51: 19 words, 176 characters
Line 52: 18 words, 135 characters
Line 53: 9 words, 75 characters
Line 54: 0 words, 0 characters
Line 55: 4 words, 39 characters
Line 56: 14 words, 127 characters
Line 57: 1 words, 4 characters
Line 58: 9 words, 60 characters
Line 59: 9 words, 76 characters
Line 60: 17 words, 130 characters
Line 61: 4 words, 32 characters
Line 62: 17 words, 139 characters
Line 63: 0 words, 0 characters
Line 64: 1 words, 11 characters
Line 65: 2 words, 23 characters
Line 66: 20 words, 153 characters
Line 67: 3 words, 26 characters
Line 68: 7 words, 58 characters
Line 69: 15 words, 124 characters
Line 70: 1 words, 7 characters
Line 71: 20 words, 171 characters
Line 72: 8 words, 51 characters
Line 73: 9 words, 84 characters
Line 74: 1 words, 9 characters
Line 75: 6 words, 43 characters
Line 76: 15 words, 121 characters
Line 77: 19 words, 137 characters
Line 78: 9 words, 74 characters
Line 79: 0 words, 0 characters
Line 80: 1 words, 8 characters
Line 81: 2 words, 10 characters
Line 82: 8 words, 60 characters
Line 83: 10 words, 82 characters
Line 84: 7 words, 59 characters
Line 85: 4 words, 34 characters
Line 86: 0 words, 0 characters
Line 87: 6 words, 48 characters
Line 88: 7 words, 62 characters
Line 89: 10 words, 81 characters
Line 90: 7 words, 47 characters
Line 91: 15 words, 131 characters
Line 92: 18 words, 166 characters
Line 93: 18 words, 167 characters
Line 94: 8 words, 71 characters
Line 95: 5 words, 45 characters
Line 96: 0 words, 0 characters
Line 97: 8 words, 69 characters
Line 98: 1 words, 4 characters
Line 99: 18 words, 159 characters
Line 100: 12 words, 101 characters
Line 101: 1 words, 10 characters
Line 102: 1 words, 3 characters
Line 103: 4 words, 17 characters
Line 104: 15 words, 109 characters
Line 105: 10 words, 100 characters
Line 106: 20 words, 146 characters
Line 107: 14 words, 98 characters
Line 108: 2 words, 17 characters
Line 109: 10 words, 86 characters
Line 110: 2 words, 17 characters
Line 111: 0 words, 0 characters
Line 112: 6 words, 53 characters
Line 113: 6 words, 62 characters
Line 114: 9 words, 71 characters
Line 115: 8 words, 60 characters
Line 116: 0 words, 0 characters
Line 117: 2 words, 21 characters
Line 118: 4 words, 29 characters
Line 119: 13 words, 110 characters
Line 120: 5 words, 38 characters
Line 121: 7 words, 57 characters
Line 122: 4 words, 36 characters
Line 123: 13 words, 101 characters
Line 124: 14 words, 116 characters
Line 125: 14 words, 128 characters
Line 126: 13 words, 113 characters
Line 127: 19 words, 163 characters
Line 128: 0 words, 0 characters
Line 129: 0 words, 0 characters
Line 130: 8 words, 62 characters
Line 131: 4 words, 34 characters
Line 132: 2 words, 15 characters
Line 133: 11 words, 104 characters
Line 134: 5 words, 55 characters
Line 135: 0 words, 0 characters
Line 136: 8 words, 65 characters
Line 137: 11 words, 103 characters
Line 138: 5 words, 46 characters
Line 139: 5 words, 49 characters
Line 140: 10 words, 102 characters
Line 141: 15 words, 139 characters
Line 142: 15 words, 113 characters
Line 143: 17 words, 154 characters
Line 144: 9 words, 76 characters
Line 145: 3 words, 26 characters
Line 146: 12 words, 95 characters
Line 147: 20 words, 154 characters
Line 148: 10 words, 94 characters
Line 149: 10 words, 81 characters
Line 150: 18 words, 156 characters
Line 151: 10 words, 70 characters
Line 152: 14 words, 133 characters
Line 153: 18 words, 153 characters
Line 154: 18 words, 160 characters
Line 155: 7 words, 63 characters
Line 156: 10 words, 89 characters
Line 157: 2 words, 20 characters
Line 158: 4 words, 35 characters
Line 159: 19 words, 141 characters
Line 160: 4 words, 39 characters
Line 161: 3 words, 21 characters
Line 162: 6 words, 54 characters
Line 163: 16 words, 137 characters
Line 164: 1 words, 8 characters
Line 165: 10 words, 99 characters
Line 166: 16 words, 146 characters
Line 167: 20 words, 145 characters
Line 168: 0 words, 0 characters
Line 169: 2 words, 17 characters
Line 170: 19 words, 143 characters
Line 171: 16 words, 112 characters
Line 172: 4 words, 35 characters
Line 173: 5 words, 52 characters
Line 174: 3 words, 19 characters
Line 175: 0 words, 0 characters
Line 176: 12 words, 102 characters
Line 177: 1 words, 12 characters
Line 178: 19 words, 158 characters
Line 179: 11 words, 93 characters
Line 180: 8 words, 54 characters
Line 181: 4 words, 31 characters
Line 182: 5 words, 29 characters
Line 183: 10 words, 75 characters
Line 184: 18 words, 162 characters
Line 185: 14 words, 118 characters
Line 186: 12 words, 99 characters
Line 187: 9 words, 68 characters
Line 188: 15 words, 124 characters
Line 189: 7 words, 64 characters
Line 190: 17 words, 148 characters
Line 191: 9 words, 62 characters
Line 192: 18 words, 142 characters
Line 193: 9 words, 81 characters
Line 194: 13 words, 107 characters
Line 195: 15 words, 115 characters
Line 196: 8 words, 66 characters
Line 197: 12 words, 114 characters
Line 198: 8 words, 76 characters
Line 199: 1 words, 10 characters
Line 200: 7 words, 52 characters
Line 201: 6 words, 54 characters
Line 202: 14 words, 145 characters
Line 203: 3 words, 22 characters
Line 204: 8 words, 59 characters
Line 205: 14 words, 124 characters
Line 206: 7 words, 46 characters
Line 207: 15 words, 126 characters
Line 208: 20 words, 190 characters
Line 209: 9 words, 79 characters
Line 210: 13 words, 115 characters
Line 211: 0 words, 0 characters
Line 212: 11 words, 101 characters
Line 213: 4 words, 46 characters
Line 214: 11 words, 97 characters
Line 215: 8 words, 64 characters
Line 216: 9 words, 75 characters
Line 217: 18 words, 146 characters
Line 218: 9 words, 88 characters
Line 219: 12 words, 114 characters
Line 220: 11 words, 102 characters
Line 221: 2 words, 16 characters
Line 222: 14 words, 126 characters
Line 223: 9 words, 71 characters
Line 224: 8 words, 75 characters
Line 225: 0 words, 0 characters
Line 226: 14 words, 120 characters
Line 227: 15 words, 132 characters
Line 228: 16 words, 141 characters
Line 229: 10 words, 86 characters
Line 230: 18 words, 174 characters
Line 231: 13 words, 129 characters
Line 232: 15 words, 131 characters
Line 233: 3 words, 24 characters
Line 234: 15 words, 126 characters
Line 235: 8 words, 80 characters
Line 236: 18 words, 151 characters
Line 237: 3 words, 31 characters
Line 238: 9 words, 71 characters
Line 239: 6 words, 59 characters
Line 240: 9 words, 70 characters
Line 241: 14 words, 129 characters
Line 242: 8 words, 80 characters
Line 243: 4 words, 34 characters
Line 244: 20 words, 172 characters
Line 245: 9 words, 94 characters
Line 246: 14 words, 99 characters
Line 247: 5 words, 43 characters
Line 248: 2 words, 25 characters
Line 249: 10 words, 83 characters
Line 250: 10 words, 84 characters
Line 251: 8 words, 73 characters
Line 252: 20 words, 175 characters
Line 253: 5 words, 38 characters
Line 254: 11 words, 86 characters
Line 255: 5 words, 49 characters
Line 256: 13 words, 125 characters
Line 257: 18 words, 141 characters
Line 258: 7 words, 45 characters
Line 259: 14 words, 101 characters
Line 260: 20 words, 159 characters
Line 261: 15 words, 136 characters
Line 262: 19 words, 146 characters
Line 263: 17 words, 147 characters
Line 264: 17 words, 153 characters
Line 265: 0 words, 0 characters
Line 266: 9 words, 64 characters
Line 267: 14 words, 120 characters
Line 268: 20 words, 181 characters
Line 269: 9 words, 79 characters
Line 270: 10 words, 99 characters
Line 271: 20 words, 180 characters
Line 272: 5 words, 40 characters
Line 273: 13 words, 103 characters
Line 274: 10 words, 92 characters
Line 275: 18 words, 154 characters
Line 276: 20 words, 147 characters
Line 277: 0 words, 0 characters
Line 278: 0 words, 0 characters
Line 279: 3 words, 30 characters
Line 280: 12 words, 111 characters
Line 281: 18 words, 154 characters
Line 282: 12 words, 110 characters
Line 283: 4 words, 32 characters
Line 284: 1 words, 9 characters
Line 285: 12 words, 122 characters
Line 286: 7 words, 59 characters
Line 287: 6 words, 52 characters
Line 288: 8 words, 68 characters
Line 289: 15 words, 110 characters
Line 290: 13 words, 113 characters
Line 291: 18 words, 164 characters
Line 292: 1 words, 4 characters
Line 293: 4 words, 40 characters
Line 294: 11 words, 88 characters
Line 295: 5 words, 43 characters
Line 296: 19 words, 182 characters
Line 297: 13 words, 97 characters
Line 298: 12 words, 125 characters
Line 299: 8 words, 69 characters
Line 300: 7 words, 51 characters
Line 301: 20 words, 154 characters
Line 302: 18 words, 128 characters
Line 303: 6 words, 54 characters
Line 304: 4 words, 34 characters
Line 305: 18 words, 154 characters
Line 306: 18 words, 166 characters
Line 307: 7 words, 52 characters
Line 308: 13 words, 112 characters
Line 309: 10 words, 78 characters
Line 310: 10 words, 68 characters
Line 311: 15 words, 119 characters
Line 312: 20 words, 190 characters
Line 313: 9 words, 65 characters
Line 314: 0 words, 0 characters
Line 315: 15 words, 128 characters
Line 316: 9 words, 96 characters
Line 317: 18 words, 147 characters
Line 318: 11 words, 90 characters
Line 319: 15 words, 117 characters
Line 320: 19 words, 162 characters
Line 321: 1 words, 5 characters
Line 322: 9 words, 67 characters
Line 323: 9 words, 79 characters
Line 324: 14 words, 109 characters
Line 325: 6 words, 56 characters
Line 326: 18 words, 153 characters
Line 327: 0 words, 0 characters
Line 328: 12 words, 99 characters
Line 329: 14 words, 129 characters
Line 330: 3 words, 12 characters
Line 331: 0 words, 0 characters
Line 332: 10 words, 71 characters
Line 333: 10 words, 97 characters
Line 334: 13 words, 94 characters
Line 335: 19 words, 164 characters
Line 336: 20 words, 177 characters
Line 337: 10 words, 98 characters
Line 338: 0 words, 0 characters
Line 339: 7 words, 66 characters
Line 340: 12 words, 86 characters
Line 341: 2 words, 9 characters
Line 342: 18 words, 159 characters
Line 343: 17 words, 139 characters
Line 344: 12 words, 94 characters
Line 345: 3 words, 26 characters
Line 346: 7 words, 53 characters
Line 347: 8 words, 50 characters
Line 348: 4 words, 37 characters
Line 349: 5 words, 40 characters
Line 350: 17 words, 146 characters
Line 351: 13 words, 103 characters
Line 352: 6 words, 66 characters
Line 353: 11 words, 87 characters
Line 354: 17 words, 155 characters
Line 355: 8 words, 53 characters
Line 356: 15 words, 122 characters
Line 357: 10 words, 73 characters
Line 358: 3 words, 18 characters
Line 359: 20 words, 184 characters
Line 360: 8 words, 64 characters
Line 361: 8 words, 61 characters
Line 362: 3 words, 24 characters
Line 363: 3 words, 21 characters
Line 364: 10 words, 82 characters
Line 365: 3 words, 35 characters
Line 366: 0 words, 0 characters
Line 367: 13 words, 122 characters
Line 368: 4 words, 23 characters
Line 369: 1 words, 9 characters
Line 370: 15 words, 145 characters
Line 371: 7 words, 63 characters
Line 372: 2 words, 18 characters
Line 373: 15 words, 144 characters
Line 374: 18 words, 144 characters
Line 375: 20 words, 167 characters
Line 376: 8 words, 65 characters
Line 377: 12 words, 101 characters
Line 378: 14 words, 126 characters
Line 379: 4 words, 31 characters
Line 380: 13 words, 116 characters
Line 381: 7 words, 64 characters
Line 382: 15 words, 146 characters
Line 383: 1 words, 12 characters
Line 384: 15 words, 115 characters
Line 385: 3 words, 20 characters
Line 386: 4 words, 31 characters
Line 387: 2 words, 15 characters
Line 388: 4 words, 45 characters
Line 389: 3 words, 28 characters
Line 390: 15 words, 126 characters
Line 391: 4 words, 31 characters
Line 392: 12 words, 106 characters
Line 393: 12 words, 104 characters
Line 394: 4 words, 28 characters
Line 395: 20 words, 169 characters
Line 396: 6 words, 55 characters
Line 397: 19 words, 163 characters
Line 398: 8 words, 64 characters
Line 399: 20 words, 152 characters
Line 400: 18 words, 170 characters
Line 401: 18 words, 148 characters
Line 402: 2 words, 22 characters
