Line 1: 8 words, 71 characters
Line 2: 7 words, 56 characters
Line 3: 20 words, 160 characters
Line 4: 8 words, 67 characters
Line 5: 16 words, 149 characters
Line 6: 19 words, 155 characters
Line 7: 18 words, 151 characters
Line 8: 3 words, 23 characters
Line 9: 8 words, 47 characters
Line 10: 3 words, 21 characters
Line 11: 18 words, 164 characters
Line 12: 2 words, 23 characters
Line 13: 15 words, 117 characters
Line 14: 8 words, 63 characters
Line 15: 11 words, 99 characters
Line 16: 14 words, 107 characters
Line 17: 6 words, 47 characters
Line 18: 14 words, 111 characters
Line 19: 4 words, 41 characters
Line 20: 0 words, 0 characters
Line 21: 13 words, 120 characters
Line 22: 19 words, 171 characters
Line 23: 4 words, 38 characters
Line 24: 8 words, 64 characters
Line 25: 17 words, 148 characters
Line 26: 8 words, 62 characters
Line 27: 3 words, 29 characters
Line 28: 9 words, 80 characters
Line 29: 1 words, 11 characters
Line 30: 17 words, 132 characters
Line 31: 5 words, 35 characters
Line 32: 13 words, 97 characters
Line 33: 17 words, 161 characters
Line 34: 11 words, 96 characters
Line 35: 15 words, 124 characters
Line 36: 18 words, 144 characters
Line 37: 4 words, 33 characters
Line 38: 20 words, 168 characters
Line 39: 2 words, 17 characters
Line 40: 16 words, 131 characters
Line 41: 7 words, 62 characters
Line 42: 13 words, 108 characters
Line 43: 4 words, 38 characters
Line 44: 13 words, 108 characters
Line 45: 0 words, 0 characters
Line 46: 8 words, 59 characters
Line 47: 14 words, 139 characters
Line 48: 11 words, 99 characters
Line 49: 15 words, 126 characters
Line 50: 18 words, 133 characters
Line 51: 10 words, 83 characters
Line 52: 1 words, 3 characters
Line 53: 19 words, 144 characters
Line 54: 7 words, 48 characters
Line 55: 14 words, 114 characters
Line 56: 20 words, 177 characters
Line 57: 2 words, 20 characters
Line 58: 7 words, 58 characters
Line 59: 15 words, 133 characters
Line 60: 2 words, 12 characters
Line 61: 13 words, 103 characters
Line 62: 3 words, 29 characters
Line 63: 2 words, 10 characters
Line 64: 9 words, 87 characters
Line 65: 5 words, 40 characters
Line 66: 19 words, 170 characters
Line 67: 19 words, 153 characters
Line 68: 6 words, 43 characters
Line 69: 0 words, 0 characters
Line 70: 9 words, 76 characters
Line 71: 9 words, 77 characters
Line 72: 17 words, 138 characters
Line 73: 20 words, 181 characters
Line 74: 4 words, 30 characters
Line 75: 15 words, 127 characters
Line 76: 8 words, 69 characters
Line 77: 17 words, 149 characters
Line 78: 3 words, 30 characters
Line 79: 2 words, 16 characters
Line 80: 4 words, 33 characters
Line 81: 15 words, 108 characters
Line 82: 8 words, 74 characters
Line 83: 8 words, 77 characters
Line 84: 4 words, 29 characters
Line 85: 7 words, 55 characters
Line 86: 19 words, 175 characters
Line 87: 20 words, 180 characters
Line 88: 17 words, 146 characters
Line 89: 6 words, 51 characters
Line 90: 14 words, 110 characters
Line 91: 5 words, 39 characters
Line 92: 11 words, 81 characters
Line 93: 19 words, 175 characters
Line 94: 5 words, 35 characters
Line 95: 8 words, 71 characters
Line 96: 16 words, 151 characters
Line 97: 8 words, 75 characters
Line 98: 17 words, 175 characters
Line 99: 3 words, 28 characters
Line 100: 1 words, 8 characters
Line 101: 7 words, 61 characters
Line 102: 17 words, 122 characters
Line 103: 16 words, 135 characters
Line 104: 17 words, 147 characters
Line 105: 3 words, 27 characters
Line 106: 8 words, 73 characters
Line 107: 9 words, 74 characters
Line 108: 11 words, 107 characters
Line 109: 17 words, 146 characters
Line 110: 11 words, 99 characters
Line 111: 10 words, 106 characters
Line 112: 5 words, 31 characters
Line 113: 1 words, 4 characters
Line 114: 0 words, 0 characters
Line 115: 2 words, 22 characters
Line 116: 0 words, 0 characters
Line 117: 19 words, 173 characters
Line 118: 5 words, 48 characters
Line 119: 19 words, 175 characters
