Line 1: 9 words, 86 characters
Line 2: 1 words, 6 characters
Line 3: 10 words, 73 characters
Line 4: 3 words, 26 characters
Line 5: 5 words, 50 characters
Line 6: 18 words, 134 characters
Line 7: 1 words, 12 characters
Line 8: 6 words, 55 characters
Line 9: 18 words, 129 characters
Line 10: 7 words, 63 characters
Line 11: 4 words, 34 characters
Line 12: 0 words, 0 characters
Line 13: 15 words, 117 characters
Line 14: 4 words, 23 characters
Line 15: 11 words, 84 characters
Line 16: 2 words, 18 characters
Line 17: 1 words, 9 characters
Line 18: 20 words, 155 characters
Line 19: 18 words, 154 characters
Line 20: 11 words, 94 characters
Line 21: 15 words, 133 characters
Line 22: 20 words, 161 characters
Line 23: 18 words, 159 characters
Line 24: 15 words, 140 characters
Line 25: 3 words, 19 characters
Line 26: 15 words, 126 characters
Line 27: 13 words, 105 characters
Line 28: 18 words, 169 characters
Line 29: 2 words, 10 characters
Line 30: 0 words, 0 characters
Line 31: 8 words, 73 characters
Line 32: 9 words, 88 characters
Line 33: 19 words, 135 characters
Line 34: 6 words, 49 characters
Line 35: 2 words, 11 characters
Line 36: 3 words, 22 characters
Line 37: 18 words, 152 characters
Line 38: 15 words, 130 characters
Line 39: 12 words, 114 characters
Line 40: 9 words, 90 characters
Line 41: 19 words, 150 characters
Line 42: 0 words, 0 characters
Line 43: 1 words, 3 characters
Line 44: 8 words, 78 characters
Line 45: 6 words, 44 characters
Line 46: 4 words, 40 characters
Line 47: 16 words, 136 characters
Line 48: 20 words, 165 characters
Line 49: 6 words, 52 characters
Line 50: 9 words, 81 characters
Line 51: 5 words, 60 characters
Line 52: 16 words, 140 characters
Line 53: 10 words, 72 characters
Line 54: 18 words, 137 characters
Line 55: 19 words, 162 characters
Line 56: 3 words, 15 characters
Line 57: 2 words, 14 characters
Line 58: 4 words, 38 characters
Line 59: 14 words, 114 characters
Line 60: 11 words, 93 characters
Line 61: 8 words, 50 characters
Line 62: 16 words, 128 characters
Line 63: 10 words, 84 characters
Line 64: 14 words, 112 characters
Line 65: 15 words, 117 characters
Line 66: 18 words, 137 characters
Line 67: 13 words, 113 characters
Line 68: 20 words, 165 characters
Line 69: 15 words, 143 characters
Line 70: 6 words, 47 characters
Line 71: 14 words, 114 characters
Line 72: 13 words, 104 characters
Line 73: 6 words, 44 characters
Line 74: 6 words, 47 characters
Line 75: 13 words, 113 characters
Line 76: 12 words, 89 characters
Line 77: 8 words, 57 characters
Line 78: 4 words, 32 characters
Line 79: 20 words, 161 characters
Line 80: 17 words, 152 characters
Line 81: 13 words, 116 characters
Line 82: 15 words, 126 characters
Line 83: 14 words, 116 characters
Line 84: 6 words, 40 characters
Line 85: 1 words, 9 characters
Line 86: 16 words, 138 characters
Line 87: 11 words, 107 characters
Line 88: 7 words, 64 characters
Line 89: 13 words, 103 characters
Line 90: 20 words, 175 characters
Line 91: 3 words, 20 characters
Line 92: 2 words, 12 characters
Line 93: 17 words, 156 characters
Line 94: 6 words, 48 characters
Line 95: 5 words, 48 characters
Line 96: 0 words, 0 characters
Line 97: 5 words, 33 characters
Line 98: 11 words, 87 characters
Line 99: 4 words, 31 characters
Line 100: 19 words, 143 characters
Line 101: 19 words, 159 characters
Line 102: 7 words, 57 characters
Line 103: 11 words, 98 characters
Line 104: 2 words, 21 characters
Line 105: 16 words, 159 characters
Line 106: 2 words, 23 characters
Line 107: 17 words, 131 characters
Line 108: 10 words, 91 characters
Line 109: 4 words, 37 characters
Line 110: 6 words, 40 characters
Line 111: 2 words, 11 characters
Line 112: 0 words, 0 characters
Line 113: 2 words, 20 characters
Line 114: 7 words, 65 characters
Line 115: 13 words, 106 characters
Line 116: 17 words, 157 characters
Line 117: 0 words, 0 characters
Line 118: 14 words, 113 characters
Line 119: 4 words, 29 characters
Line 120: 4 words, 28 characters
Line 121: 10 words, 93 characters
Line 122: 18 words, 149 characters
Line 123: 16 words, 135 characters
Line 124: 6 words, 63 characters
Line 125: 18 words, 153 characters
Line 126: 18 words, 135 characters
Line 127: 9 words, 92 characters
Line 128: 10 words, 81 characters
Line 129: 0 words, 0 characters
Line 130: 15 words, 116 characters
Line 131: 18 words, 152 characters
Line 132: 7 words, 55 characters
Line 133: 20 words, 178 characters
Line 134: 19 words, 157 characters
Line 135: 3 words, 33 characters
Line 136: 1 words, 8 characters
Line 137: 7 words, 56 characters
Line 138: 17 words, 144 characters
Line 139: 17 words, 140 characters
Line 140: 1 words, 12 characters
Line 141: 10 words, 82 characters
Line 142: 5 words, 39 characters
Line 143: 13 words, 134 characters
Line 144: 18 words, 153 characters
Line 145: 2 words, 15 characters
Line 146: 9 words, 69 characters
Line 147: 14 words, 131 characters
Line 148: 6 words, 34 characters
Line 149: 5 words, 41 characters
Line 150: 7 words, 65 characters
Line 151: 9 words, 84 characters
Line 152: 19 words, 142 characters
Line 153: 10 words, 78 characters
Line 154: 18 words, 143 characters
Line 155: 7 words, 59 characters
Line 156: 5 words, 37 characters
Line 157: 4 words, 35 characters
Line 158: 16 words, 130 characters
