Line 1: 13 words, 121 characters
Line 2: 10 words, 89 characters
Line 3: 2 words, 13 characters
Line 4: 19 words, 163 characters
Line 5: 1 words, 9 characters
Line 6: 9 words, 66 characters
Line 7: 18 words, 175 characters
Line 8: 0 words, 0 characters
Line 9: 16 words, 137 characters
Line 10: 9 words, 75 characters
Line 11: 16 words, 137 characters
Line 12: 0 words, 0 characters
Line 13: 15 words, 138 characters
Line 14: 16 words, 153 characters
Line 15: 4 words, 38 characters
Line 16: 7 words, 77 characters
Line 17: 19 words, 193 characters
Line 18: 8 words, 58 characters
Line 19: 2 words, 14 characters
Line 20: 5 words, 50 characters
Line 21: 19 words, 167 characters
Line 22: 8 words, 69 characters
Line 23: 3 words, 23 characters
Line 24: 19 words, 153 characters
Line 25: 16 words, 120 characters
Line 26: 2 words, 10 characters
Line 27: 9 words, 78 characters
Line 28: 16 words, 143 characters
Line 29: 16 words, 139 characters
Line 30: 15 words, 133 characters
Line 31: 5 words, 33 characters
Line 32: 13 words, 115 characters
Line 33: 6 words, 50 characters
Line 34: 13 words, 133 characters
Line 35: 13 words, 104 characters
Line 36: 10 words, 84 characters
Line 37: 13 words, 85 characters
Line 38: 5 words, 31 characters
Line 39: 8 words, 69 characters
Line 40: 4 words, 35 characters
Line 41: 3 words, 27 characters
Line 42: 3 words, 25 characters
Line 43: 6 words, 50 characters
Line 44: 11 words, 85 characters
Line 45: 0 words, 0 characters
Line 46: 7 words, 49 characters
Line 47: 7 words, 59 characters
Line 48: 1 words, 12 characters
Line 49: 9 words, 74 characters
Line 50: 6 words, 53 characters
Line 51: 8 words, 55 characters
Line 52: 5 words, 44 characters
Line 53: 16 words, 140 characters
Line 54: 19 words, 174 characters
Line 55: 2 words, 12 characters
Line 56: 18 words, 145 characters
Line 57: 16 words, 160 characters
Line 58: 10 words, 87 characters
Line 59: 19 words, 157 characters
Line 60: 4 words, 47 characters
Line 61: 17 words, 138 characters
Line 62: 15 words, 127 characters
Line 63: 0 words, 0 characters
Line 64: 9 words, 76 characters
Line 65: 0 words, 0 characters
Line 66: 13 words, 115 characters
Line 67: 5 words, 41 characters
Line 68: 4 words, 35 characters
Line 69: 20 words, 150 characters
Line 70: 7 words, 69 characters
Line 71: 15 words, 110 characters
Line 72: 5 words, 37 characters
Line 73: 11 words, 102 characters
Line 74: 13 words, 112 characters
Line 75: 16 words, 122 characters
Line 76: 8 words, 55 characters
Line 77: 2 words, 20 characters
Line 78: 19 words, 149 characters
Line 79: 13 words, 115 characters
Line 80: 12 words, 110 characters
Line 81: 4 words, 39 characters
Line 82: 12 words, 115 characters
Line 83: 3 words, 24 characters
Line 84: 4 words, 40 characters
Line 85: 9 words, 79 characters
Line 86: 10 words, 67 characters
Line 87: 10 words, 88 characters
Line 88: 16 words, 142 characters
Line 89: 20 words, 170 characters
Line 90: 1 words, 5 characters
Line 91: 9 words, 68 characters
Line 92: 7 words, 60 characters
Line 93: 14 words, 117 characters
Line 94: 1 words, 8 characters
Line 95: 10 words, 89 characters
Line 96: 8 words, 69 characters
Line 97: 0 words, 0 characters
Line 98: 13 words, 119 characters
Line 99: 19 words, 151 characters
Line 100: 17 words, 143 characters
Line 101: 16 words, 125 characters
Line 102: 0 words, 0 characters
Line 103: 1 words, 8 characters
Line 104: 4 words, 39 characters
Line 105: 9 words, 80 characters
Line 106: 9 words, 72 characters
Line 107: 12 words, 110 characters
Line 108: 18 words, 151 characters
Line 109: 7 words, 63 characters
Line 110: 2 words, 14 characters
Line 111: 14 words, 145 characters
Line 112: 19 words, 152 characters
Line 113: 10 words, 101 characters
Line 114: 4 words, 40 characters
Line 115: 16 words, 139 characters
Line 116: 9 words, 82 characters
Line 117: 14 words, 123 characters
Line 118: 5 words, 43 characters
Line 119: 5 words, 40 characters
Line 120: 10 words, 76 characters
Line 121: 2 words, 18 characters
Line 122: 9 words, 80 characters
Line 123: 14 words, 122 characters
Line 124: 0 words, 0 characters
