Line 1: 3 words, 35 characters
Line 2: 12 words, 104 characters
Line 3: 1 words, 11 characters
Line 4: 13 words, 121 characters
Line 5: 20 words, 191 characters
Line 6: 1 words, 6 characters
Line 7: 13 words, 114 characters
Line 8: 15 words, 115 characters
Line 9: 7 words, 64 characters
Line 10: 3 words, 29 characters
Line 11: 0 words, 0 characters
Line 12: 0 words, 0 characters
Line 13: 1 words, 8 characters
Line 14: 10 words, 84 characters
Line 15: 4 words, 35 characters
Line 16: 12 words, 105 characters
Line 17: 15 words, 110 characters
Line 18: 20 words, 187 characters
Line 19: 3 words, 22 characters
Line 20: 10 words, 90 characters
Line 21: 12 words, 104 characters
Line 22: 11 words, 91 characters
Line 23: 0 words, 0 characters
Line 24: 20 words, 161 characters
Line 25: 19 words, 167 characters
Line 26: 0 words, 0 characters
Line 27: 8 words, 63 characters
Line 28: 17 words, 123 characters
Line 29: 20 words, 198 characters
Line 30: 1 words, 4 characters
Line 31: 17 words, 162 characters
Line 32: 16 words, 124 characters
Line 33: 19 words, 197 characters
Line 34: 5 words, 45 characters
Line 35: 9 words, 94 characters
Line 36: 4 words, 34 characters
Line 37: 16 words, 122 characters
Line 38: 6 words, 52 characters
Line 39: 13 words, 108 characters
Line 40: 0 words, 0 characters
Line 41: 13 words, 94 characters
Line 42: 3 words, 29 characters
Line 43: 19 words, 170 characters
Line 44: 11 words, 80 characters
Line 45: 9 words, 101 characters
Line 46: 1 words, 10 characters
Line 47: 5 words, 32 characters
Line 48: 5 words, 46 characters
Line 49: 19 words, 172 characters
Line 50: 13 words, 108 characters
Line 51: 11 words, 102 characters
Line 52: 18 words, 148 characters
Line 53: 18 words, 156 characters
Line 54: 13 words, 102 characters
Line 55: 0 words, 0 characters
Line 56: 5 words, 31 characters
Line 57: 20 words, 157 characters
Line 58: 5 words, 40 characters
Line 59: 12 words, 93 characters
Line 60: 17 words, 152 characters
Line 61: 9 words, 62 characters
Line 62: 14 words, 127 characters
Line 63: 2 words, 22 characters
Line 64: 18 words, 150 characters
Line 65: 4 words, 27 characters
Line 66: 16 words, 152 characters
Line 67: 9 words, 72 characters
Line 68: 11 words, 112 characters
Line 69: 17 words, 149 characters
Line 70: 5 words, 36 characters
Line 71: 8 words, 61 characters
Line 72: 10 words, 85 characters
Line 73: 20 words, 167 characters
Line 74: 1 words, 5 characters
Line 75: 10 words, 93 characters
Line 76: 3 words, 32 characters
Line 77: 2 words, 9 characters
Line 78: 10 words, 80 characters
Line 79: 12 words, 104 characters
Line 80: 0 words, 0 characters
Line 81: 5 words, 51 characters
Line 82: 17 words, 155 characters
Line 83: 3 words, 26 characters
Line 84: 16 words, 133 characters
Line 85: 10 words, 85 characters
Line 86: 15 words, 119 characters
Line 87: 11 words, 96 characters
Line 88: 12 words, 109 characters
Line 89: 1 words, 11 characters
Line 90: 10 words, 69 characters
Line 91: 15 words, 112 characters
Line 92: 13 words, 132 characters
Line 93: 18 words, 134 characters
Line 94: 18 words, 158 characters
Line 95: 4 words, 43 characters
Line 96: 14 words, 124 characters
Line 97: 6 words, 54 characters
Line 98: 17 words, 140 characters
Line 99: 0 words, 0 characters
Line 100: 1 words, 3 characters
Line 101: 12 words, 87 characters
Line 102: 3 words, 28 characters
Line 103: 9 words, 73 characters
Line 104: 9 words, 79 characters
Line 105: 14 words, 102 characters
Line 106: 10 words, 93 characters
Line 107: 11 words, 106 characters
Line 108: 0 words, 0 characters
Line 109: 19 words, 175 characters
Line 110: 19 words, 137 characters
Line 111: 11 words, 89 characters
Line 112: 8 words, 58 characters
Line 113: 1 words, 11 characters
Line 114: 20 words, 140 characters
Line 115: 11 words, 98 characters
Line 116: 12 words, 102 characters
Line 117: 13 words, 108 characters
Line 118: 7 words, 61 characters
Line 119: 14 words, 128 characters
Line 120: 15 words, 128 characters
Line 121: 3 words, 24 characters
Line 122: 4 words, 33 characters
Line 123: 13 words, 118 characters
Line 124: 14 words, 123 characters
Line 125: 10 words, 94 characters
Line 126: 10 words, 84 characters
Line 127: 3 words, 22 characters
Line 128: 18 words, 168 characters
Line 129: 20 words, 165 characters
Line 130: 6 words, 53 characters
Line 131: 15 words, 129 characters
Line 132: 4 words, 49 characters
Line 133: 13 words, 126 characters
Line 134: 10 words, 106 characters
Line 135: 5 words, 41 characters
Line 136: 10 words, 76 characters
Line 137: 17 words, 128 characters
Line 138: 13 words, 108 characters
Line 139: 9 words, 63 characters
Line 140: 15 words, 127 characters
Line 141: 11 words, 109 characters
Line 142: 9 words, 74 characters
Line 143: 1 words, 5 characters
Line 144: 5 words, 54 characters
Line 145: 8 words, 64 characters
Line 146: 8 words, 65 characters
Line 147: 12 words, 101 characters
Line 148: 8 words, 61 characters
Line 149: 6 words, 42 characters
Line 150: 2 words, 12 characters
Line 151: 12 words, 117 characters
Line 152: 10 words, 80 characters
Line 153: 6 words, 53 characters
Line 154: 14 words, 133 characters
Line 155: 1 words, 10 characters
Line 156: 19 words, 187 characters
Line 157: 3 words, 35 characters
Line 158: 20 words, 193 characters
Line 159: 9 words, 70 characters
Line 160: 2 words, 21 characters
Line 161: 4 words, 38 characters
Line 162: 19 words, 157 characters
Line 163: 10 words, 96 characters
Line 164: 15 words, 109 characters
Line 165: 12 words, 100 characters
Line 166: 7 words, 67 characters
Line 167: 14 words, 130 characters
Line 168: 9 words, 79 characters
Line 169: 17 words, 168 characters
Line 170: 17 words, 143 characters
Line 171: 14 words, 133 characters
Line 172: 14 words, 137 characters
Line 173: 8 words, 65 characters
Line 174: 17 words, 133 characters
Line 175: 2 words, 22 characters
Line 176: 16 words, 127 characters
Line 177: 7 words, 53 characters
Line 178: 13 words, 100 characters
Line 179: 18 words, 137 characters
Line 180: 8 words, 63 characters
Line 181: 4 words, 34 characters
Line 182: 3 words, 27 characters
Line 183: 5 words, 42 characters
Line 184: 4 words, 42 characters
Line 185: 8 words, 66 characters
Line 186: 2 words, 12 characters
Line 187: 5 words, 45 characters
Line 188: 16 words, 136 characters
Line 189: 10 words, 74 characters
Line 190: 17 words, 139 characters
Line 191: 15 words, 141 characters
Line 192: 1 words, 12 characters
Line 193: 14 words, 111 characters
Line 194: 5 words, 35 characters
Line 195: 3 words, 32 characters
Line 196: 15 words, 136 characters
Line 197: 13 words, 112 characters
Line 198: 13 words, 116 characters
Line 199: 11 words, 100 characters
Line 200: 14 words, 100 characters
Line 201: 18 words, 156 characters
Line 202: 5 words, 34 characters
Line 203: 8 words, 69 characters
Line 204: 18 words, 175 characters
Line 205: 5 words, 48 characters
Line 206: 2 words, 12 characters
Line 207: 14 words, 107 characters
Line 208: 9 words, 78 characters
Line 209: 19 words, 133 characters
Line 210: 19 words, 162 characters
Line 211: 9 words, 66 characters
Line 212: 14 words, 110 characters
Line 213: 18 words, 153 characters
Line 214: 11 words, 85 characters
Line 215: 19 words, 166 characters
Line 216: 14 words, 124 characters
Line 217: 19 words, 169 characters
Line 218: 20 words, 178 characters
Line 219: 2 words, 9 characters
Line 220: 9 words, 79 characters
Line 221: 0 words, 0 characters
Line 222: 1 words, 6 characters
Line 223: 2 words, 15 characters
Line 224: 8 words, 73 characters
Line 225: 11 words, 105 characters
Line 226: 5 words, 42 characters
Line 227: 2 words, 17 characters
Line 228: 3 words, 24 characters
Line 229: 8 words, 65 characters
Line 230: 0 words, 0 characters
Line 231: 16 words, 120 characters
Line 232: 0 words, 0 characters
Line 233: 6 words, 49 characters
Line 234: 15 words, 110 characters
Line 235: 4 words, 37 characters
Line 236: 6 words, 46 characters
Line 237: 11 words, 111 characters
Line 238: 15 words, 137 characters
Line 239: 6 words, 52 characters
Line 240: 2 words, 8 characters
Line 241: 12 words, 115 characters
Line 242: 8 words, 63 characters
Line 243: 2 words, 18 characters
Line 244: 5 words, 37 characters
Line 245: 4 words, 31 characters
Line 246: 16 words, 135 characters
Line 247: 2 words, 17 characters
Line 248: 10 words, 94 characters
Line 249: 10 words, 80 characters
Line 250: 7 words, 60 characters
Line 251: 16 words, 164 characters
Line 252: 2 words, 21 characters
Line 253: 12 words, 109 characters
Line 254: 10 words, 71 characters
Line 255: 15 words, 131 characters
Line 256: 11 words, 63 characters
Line 257: 16 words, 138 characters
Line 258: 3 words, 22 characters
Line 259: 11 words, 94 characters
Line 260: 12 words, 97 characters
Line 261: 4 words, 32 characters
Line 262: 17 words, 119 characters
Line 263: 12 words, 111 characters
Line 264: 6 words, 61 characters
Line 265: 0 words, 0 characters
Line 266: 17 words, 125 characters
Line 267: 19 words, 145 characters
Line 268: 18 words, 147 characters
Line 269: 18 words, 133 characters
Line 270: 11 words, 84 characters
Line 271: 3 words, 23 characters
Line 272: 6 words, 56 characters
Line 273: 10 words, 89 characters
Line 274: 4 words, 21 characters
Line 275: 16 words, 135 characters
Line 276: 14 words, 117 characters
Line 277: 4 words, 34 characters
Line 278: 3 words, 28 characters
Line 279: 16 words, 138 characters
Line 280: 17 words, 164 characters
Line 281: 13 words, 118 characters
Line 282: 11 words, 87 characters
Line 283: 5 words, 47 characters
Line 284: 20 words, 182 characters
Line 285: 7 words, 54 characters
Line 286: 18 words, 174 characters
Line 287: 8 words, 65 characters
Line 288: 16 words, 141 characters
Line 289: 7 words, 61 characters
Line 290: 12 words, 111 characters
Line 291: 15 words, 140 characters
Line 292: 16 words, 126 characters
Line 293: 11 words, 83 characters
Line 294: 0 words, 0 characters
Line 295: 7 words, 65 characters
Line 296: 16 words, 132 characters
Line 297: 18 words, 147 characters
Line 298: 15 words, 135 characters
Line 299: 19 words, 161 characters
Line 300: 17 words, 161 characters
Line 301: 1 words, 4 characters
Line 302: 5 words, 45 characters
Line 303: 14 words, 129 characters
Line 304: 9 words, 75 characters
Line 305: 13 words, 92 characters
Line 306: 0 words, 0 characters
Line 307: 19 words, 159 characters
Line 308: 16 words, 144 characters
Line 309: 18 words, 152 characters
Line 310: 9 words, 66 characters
Line 311: 17 words, 141 characters
Line 312: 10 words, 82 characters
Line 313: 1 words, 10 characters
Line 314: 0 words, 0 characters
Line 315: 16 words, 128 characters
Line 316: 8 words, 77 characters
Line 317: 16 words, 134 characters
