Line 1: 17 words, 146 characters
Line 2: 7 words, 70 characters
Line 3: 14 words, 113 characters
Line 4: 8 words, 61 characters
Line 5: 2 words, 13 characters
Line 6: 11 words, 78 characters
Line 7: 6 words, 53 characters
Line 8: 17 words, 131 characters
Line 9: 1 words, 6 characters
Line 10: 3 words, 26 characters
Line 11: 0 words, 0 characters
Line 12: 14 words, 90 characters
Line 13: 1 words, 7 characters
Line 14: 10 words, 77 characters
Line 15: 20 words, 168 characters
Line 16: 13 words, 104 characters
Line 17: 14 words, 137 characters
Line 18: 7 words, 69 characters
Line 19: 6 words, 47 characters
Line 20: 1 words, 9 characters
Line 21: 11 words, 101 characters
Line 22: 20 words, 155 characters
Line 23: 1 words, 4 characters
Line 24: 4 words, 35 characters
Line 25: 3 words, 31 characters
Line 26: 3 words, 19 characters
Line 27: 5 words, 32 characters
Line 28: 14 words, 132 characters
Line 29: 9 words, 63 characters
Line 30: 13 words, 118 characters
Line 31: 9 words, 75 characters
Line 32: 15 words, 104 characters
Line 33: 20 words, 161 characters
Line 34: 11 words, 115 characters
Line 35: 20 words, 141 characters
Line 36: 7 words, 70 characters
Line 37: 2 words, 21 characters
Line 38: 20 words, 175 characters
Line 39: 3 words, 23 characters
Line 40: 6 words, 47 characters
Line 41: 17 words, 163 characters
Line 42: 15 words, 119 characters
Line 43: 3 words, 26 characters
Line 44: 5 words, 50 characters
Line 45: 19 words, 154 characters
Line 46: 14 words, 124 characters
Line 47: 2 words, 23 characters
Line 48: 2 words, 17 characters
Line 49: 9 words, 74 characters
Line 50: 18 words, 156 characters
Line 51: 18 words, 149 characters
Line 52: 5 words, 43 characters
Line 53: 5 words, 49 characters
Line 54: 12 words, 111 characters
Line 55: 0 words, 0 characters
Line 56: 14 words, 126 characters
Line 57: 4 words, 35 characters
Line 58: 14 words, 121 characters
Line 59: 12 words, 106 characters
Line 60: 5 words, 31 characters
Line 61: 15 words, 126 characters
Line 62: 11 words, 95 characters
Line 63: 19 words, 135 characters
Line 64: 12 words, 105 characters
Line 65: 17 words, 144 characters
Line 66: 19 words, 162 characters
Line 67: 15 words, 120 characters
Line 68: 19 words, 157 characters
Line 69: 19 words, 160 characters
Line 70: 14 words, 118 characters
Line 71: 0 words, 0 characters
Line 72: 18 words, 150 characters
Line 73: 5 words, 41 characters
Line 74: 14 words, 123 characters
Line 75: 5 words, 36 characters
Line 76: 12 words, 114 characters
Line 77: 20 words, 152 characters
Line 78: 20 words, 180 characters
Line 79: 11 words, 91 characters
Line 80: 13 words, 100 characters
Line 81: 3 words, 24 characters
Line 82: 5 words, 49 characters
Line 83: 2 words, 15 characters
Line 84: 10 words, 77 characters
Line 85: 13 words, 102 characters
Line 86: 11 words, 77 characters
Line 87: 3 words, 24 characters
Line 88: 1 words, 11 characters
Line 89: 13 words, 122 characters
Line 90: 6 words, 43 characters
Line 91: 19 words, 150 characters
Line 92: 5 words, 37 characters
Line 93: 17 words, 131 characters
Line 94: 2 words, 25 characters
Line 95: 19 words, 135 characters
Line 96: 11 words, 85 characters
Line 97: 1 words, 4 characters
Line 98: 12 words, 114 characters
Line 99: 17 words, 138 characters
Line 100: 10 words, 88 characters
Line 101: 16 words, 136 characters
Line 102: 5 words, 40 characters
Line 103: 1 words, 9 characters
Line 104: 18 words, 161 characters
Line 105: 7 words, 53 characters
Line 106: 11 words, 91 characters
Line 107: 9 words, 55 characters
Line 108: 3 words, 13 characters
Line 109: 10 words, 81 characters
Line 110: 4 words, 25 characters
Line 111: 18 words, 155 characters
Line 112: 17 words, 156 characters
Line 113: 1 words, 8 characters
Line 114: 12 words, 94 characters
Line 115: 19 words, 135 characters
Line 116: 19 words, 156 characters
Line 117: 9 words, 68 characters
Line 118: 4 words, 40 characters
Line 119: 6 words, 46 characters
Line 120: 18 words, 138 characters
Line 121: 8 words, 58 characters
Line 122: 14 words, 109 characters
Line 123: 2 words, 16 characters
Line 124: 18 words, 163 characters
Line 125: 14 words, 111 characters
Line 126: 15 words, 118 characters
Line 127: 9 words, 70 characters
Line 128: 10 words, 87 characters
Line 129: 8 words, 60 characters
Line 130: 7 words, 58 characters
Line 131: 12 words, 93 characters
Line 132: 0 words, 0 characters
Line 133: 2 words, 19 characters
Line 134: 12 words, 95 characters
Line 135: 0 words, 0 characters
Line 136: 4 words, 38 characters
Line 137: 3 words, 16 characters
Line 138: 3 words, 32 characters
Line 139: 13 words, 94 characters
Line 140: 2 words, 14 characters
Line 141: 11 words, 91 characters
Line 142: 18 words, 131 characters
Line 143: 9 words, 73 characters
Line 144: 6 words, 48 characters
Line 145: 19 words, 184 characters
Line 146: 11 words, 96 characters
Line 147: 20 words, 179 characters
Line 148: 18 words, 151 characters
Line 149: 6 words, 53 characters
Line 150: 20 words, 138 characters
Line 151: 4 words, 36 characters
Line 152: 2 words, 13 characters
Line 153: 13 words, 123 characters
Line 154: 4 words, 38 characters
Line 155: 10 words, 96 characters
Line 156: 14 words, 110 characters
Line 157: 17 words, 151 characters
Line 158: 4 words, 28 characters
Line 159: 13 words, 115 characters
Line 160: 18 words, 151 characters
Line 161: 1 words, 5 characters
Line 162: 17 words, 134 characters
Line 163: 13 words, 98 characters
Line 164: 13 words, 115 characters
Line 165: 6 words, 52 characters
Line 166: 9 words, 72 characters
Line 167: 4 words, 44 characters
Line 168: 13 words, 110 characters
Line 169: 16 words, 143 characters
Line 170: 11 words, 111 characters
Line 171: 10 words, 92 characters
Line 172: 15 words, 117 characters
Line 173: 19 words, 168 characters
Line 174: 3 words, 18 characters
Line 175: 16 words, 132 characters
Line 176: 20 words, 172 characters
Line 177: 18 words, 151 characters
Line 178: 12 words, 119 characters
Line 179: 11 words, 76 characters
Line 180: 0 words, 0 characters
Line 181: 0 words, 0 characters
Line 182: 1 words, 12 characters
Line 183: 12 words, 98 characters
Line 184: 3 words, 26 characters
Line 185: 8 words, 84 characters
Line 186: 0 words, 0 characters
Line 187: 3 words, 33 characters
Line 188: 16 words, 140 characters
Line 189: 2 words, 18 characters
Line 190: 4 words, 32 characters
Line 191: 12 words, 90 characters
Line 192: 0 words, 0 characters
Line 193: 11 words, 83 characters
Line 194: 4 words, 34 characters
Line 195: 4 words, 35 characters
Line 196: 1 words, 9 characters
Line 197: 6 words, 35 characters
Line 198: 2 words, 19 characters
