Line 1: 7 words, 62 characters
Line 2: 13 words, 101 characters
Line 3: 5 words, 42 characters
Line 4: 18 words, 133 characters
Line 5: 9 words, 65 characters
Line 6: 0 words, 0 characters
Line 7: 12 words, 106 characters
Line 8: 2 words, 15 characters
Line 9: 13 words, 101 characters
Line 10: 7 words, 52 characters
Line 11: 8 words, 72 characters
Line 12: 4 words, 27 characters
Line 13: 0 words, 0 characters
Line 14: 14 words, 116 characters
Line 15: 18 words, 148 characters
Line 16: 18 words, 165 characters
Line 17: 4 words, 27 characters
Line 18: 3 words, 36 characters
Line 19: 10 words, 101 characters
Line 20: 5 words, 41 characters
Line 21: 9 words, 69 characters
Line 22: 19 words, 164 characters
Line 23: 9 words, 85 characters
Line 24: 12 words, 94 characters
Line 25: 20 words, 184 characters
Line 26: 7 words, 58 characters
Line 27: 11 words, 84 characters
Line 28: 0 words, 0 characters
Line 29: 19 words, 155 characters
Line 30: 6 words, 48 characters
Line 31: 1 words, 5 characters
Line 32: 12 words, 110 characters
Line 33: 5 words, 31 characters
Line 34: 4 words, 34 characters
Line 35: 7 words, 61 characters
Line 36: 3 words, 19 characters
Line 37: 13 words, 122 characters
Line 38: 14 words, 143 characters
Line 39: 12 words, 99 characters
Line 40: 1 words, 10 characters
Line 41: 7 words, 50 characters
Line 42: 0 words, 0 characters
Line 43: 6 words, 51 characters
Line 44: 2 words, 21 characters
Line 45: 14 words, 108 characters
Line 46: 20 words, 167 characters
Line 47: 3 words, 25 characters
Line 48: 9 words, 70 characters
Line 49: 6 words, 45 characters
Line 50: 20 words, 149 characters
Line 51: 11 words, 111 characters
Line 52: 19 words, 175 characters
Line 53: 10 words, 70 characters
Line 54: 8 words, 58 characters
Line 55: 10 words, 87 characters
Line 56: 13 words, 120 characters
Line 57: 10 words, 93 characters
Line 58: 16 words, 126 characters
Line 59: 17 words, 142 characters
Line 60: 5 words, 42 characters
Line 61: 15 words, 140 characters
Line 62: 17 words, 139 characters
Line 63: 2 words, 24 characters
Line 64: 9 words, 75 characters
Line 65: 12 words, 102 characters
Line 66: 13 words, 118 characters
Line 67: 4 words, 34 characters
Line 68: 16 words, 124 characters
Line 69: 5 words, 42 characters
Line 70: 11 words, 83 characters
Line 71: 1 words, 10 characters
Line 72: 1 words, 9 characters
Line 73: 4 words, 37 characters
Line 74: 0 words, 0 characters
Line 75: 7 words, 59 characters
Line 76: 2 words, 14 characters
Line 77: 0 words, 0 characters
Line 78: 20 words, 174 characters
Line 79: 17 words, 112 characters
Line 80: 9 words, 80 characters
Line 81: 19 words, 173 characters
Line 82: 8 words, 75 characters
Line 83: 1 words, 9 characters
Line 84: 18 words, 145 characters
Line 85: 4 words, 36 characters
Line 86: 2 words, 20 characters
Line 87: 8 words, 78 characters
Line 88: 2 words, 24 characters
Line 89: 8 words, 57 characters
Line 90: 3 words, 24 characters
Line 91: 11 words, 91 characters
Line 92: 16 words, 135 characters
Line 93: 0 words, 0 characters
Line 94: 20 words, 168 characters
Line 95: 11 words, 103 characters
Line 96: 16 words, 144 characters
Line 97: 3 words, 18 characters
Line 98: 0 words, 0 characters
Line 99: 1 words, 4 characters
Line 100: 10 words, 79 characters
Line 101: 0 words, 0 characters
Line 102: 15 words, 131 characters
Line 103: 9 words, 71 characters
Line 104: 20 words, 180 characters
Line 105: 18 words, 167 characters
Line 106: 4 words, 23 characters
Line 107: 16 words, 100 characters
Line 108: 3 words, 22 characters
Line 109: 0 words, 0 characters
Line 110: 5 words, 40 characters
Line 111: 20 words, 194 characters
Line 112: 12 words, 112 characters
Line 113: 15 words, 132 characters
Line 114: 14 words, 100 characters
Line 115: 11 words, 95 characters
Line 116: 11 words, 76 characters
Line 117: 2 words, 16 characters
Line 118: 17 words, 154 characters
Line 119: 5 words, 40 characters
Line 120: 10 words, 72 characters
Line 121: 14 words, 114 characters
Line 122: 5 words, 46 characters
Line 123: 1 words, 4 characters
Line 124: 3 words, 24 characters
Line 125: 2 words, 20 characters
Line 126: 9 words, 70 characters
Line 127: 12 words, 95 characters
Line 128: 1 words, 8 characters
Line 129: 16 words, 133 characters
Line 130: 5 words, 42 characters
Line 131: 8 words, 73 characters
Line 132: 11 words, 88 characters
Line 133: 9 words, 86 characters
Line 134: 9 words, 83 characters
Line 135: 7 words, 64 characters
Line 136: 16 words, 120 characters
Line 137: 5 words, 42 characters
Line 138: 15 words, 125 characters
Line 139: 9 words, 82 characters
Line 140: 4 words, 29 characters
Line 141: 19 words, 151 characters
Line 142: 15 words, 127 characters
Line 143: 3 words, 24 characters
Line 144: 19 words, 159 characters
Line 145: 14 words, 112 characters
Line 146: 9 words, 66 characters
Line 147: 10 words, 73 characters
Line 148: 3 words, 24 characters
Line 149: 4 words, 35 characters
Line 150: 18 words, 143 characters
Line 151: 13 words, 107 characters
Line 152: 20 words, 156 characters
Line 153: 19 words, 156 characters
Line 154: 11 words, 88 characters
Line 155: 0 words, 0 characters
Line 156: 16 words, 111 characters
Line 157: 6 words, 56 characters
Line 158: 12 words, 99 characters
Line 159: 15 words, 114 characters
Line 160: 20 words, 163 characters
Line 161: 2 words, 17 characters
Line 162: 16 words, 123 characters
Line 163: 15 words, 134 characters
Line 164: 1 words, 6 characters
Line 165: 18 words, 137 characters
Line 166: 15 words, 123 characters
Line 167: 14 words, 107 characters
Line 168: 7 words, 59 characters
Line 169: 15 words, 127 characters
Line 170: 11 words, 119 characters
Line 171: 13 words, 104 characters
Line 172: 17 words, 136 characters
Line 173: 2 words, 16 characters
Line 174: 0 words, 0 characters
Line 175: 20 words, 168 characters
Line 176: 14 words, 127 characters
Line 177: 1 words, 9 characters
Line 178: 10 words, 65 characters
Line 179: 8 words, 67 characters
Line 180: 7 words, 60 characters
Line 181: 6 words, 53 characters
Line 182: 10 words, 87 characters
Line 183: 14 words, 124 characters
Line 184: 2 words, 17 characters
Line 185: 0 words, 0 characters
Line 186: 4 words, 35 characters
Line 187: 4 words, 33 characters
Line 188: 11 words, 114 characters
Line 189: 0 words, 0 characters
Line 190: 15 words, 123 characters
Line 191: 11 words, 86 characters
Line 192: 1 words, 12 characters
Line 193: 12 words, 90 characters
Line 194: 3 words, 26 characters
Line 195: 9 words, 80 characters
Line 196: 1 words, 5 characters
Line 197: 9 words, 73 characters
Line 198: 19 words, 149 characters
Line 199: 6 words, 42 characters
Line 200: 11 words, 92 characters
Line 201: 5 words, 39 characters
Line 202: 4 words, 26 characters
Line 203: 9 words, 66 characters
Line 204: 11 words, 89 characters
Line 205: 7 words, 58 characters
Line 206: 9 words, 57 characters
Line 207: 9 words, 76 characters
Line 208: 12 words, 96 characters
Line 209: 7 words, 56 characters
Line 210: 0 words, 0 characters
Line 211: 0 words, 0 characters
Line 212: 14 words, 125 characters
Line 213: 8 words, 65 characters
Line 214: 10 words, 71 characters
Line 215: 17 words, 140 characters
Line 216: 8 words, 74 characters
Line 217: 20 words, 140 characters
Line 218: 2 words, 15 characters
Line 219: 19 words, 136 characters
Line 220: 1 words, 5 characters
Line 221: 15 words, 119 characters
Line 222: 17 words, 137 characters
Line 223: 10 words, 88 characters
Line 224: 4 words, 40 characters
Line 225: 12 words, 111 characters
Line 226: 9 words, 80 characters
Line 227: 12 words, 109 characters
Line 228: 1 words, 6 characters
Line 229: 17 words, 150 characters
Line 230: 12 words, 99 characters
Line 231: 15 words, 130 characters
Line 232: 9 words, 76 characters
Line 233: 15 words, 111 characters
Line 234: 8 words, 60 characters
Line 235: 15 words, 111 characters
Line 236: 1 words, 6 characters
Line 237: 14 words, 120 characters
Line 238: 16 words, 151 characters
Line 239: 3 words, 13 characters
Line 240: 9 words, 80 characters
Line 241: 14 words, 106 characters
Line 242: 10 words, 76 characters
Line 243: 9 words, 85 characters
Line 244: 18 words, 161 characters
Line 245: 14 words, 123 characters
Line 246: 4 words, 36 characters
Line 247: 1 words, 3 characters
Line 248: 8 words, 62 characters
Line 249: 4 words, 29 characters
Line 250: 8 words, 81 characters
Line 251: 3 words, 33 characters
Line 252: 3 words, 27 characters
Line 253: 17 words, 162 characters
Line 254: 6 words, 51 characters
Line 255: 7 words, 69 characters
Line 256: 5 words, 49 characters
Total: 256 lines, 2371 words, 19720 characters
