Line 1: 0 words, 0 characters
Line 2: 2 words, 19 characters
Line 3: 18 words, 138 characters
Line 4: 14 words, 121 characters
Line 5: 14 words, 92 characters
Line 6: 0 words, 0 characters
Line 7: 15 words, 134 characters
Line 8: 20 words, 170 characters
Line 9: 8 words, 75 characters
Line 10: 16 words, 139 characters
Line 11: 15 words, 131 characters
Line 12: 18 words, 162 characters
Line 13: 7 words, 75 characters
Line 14: 19 words, 171 characters
Line 15: 11 words, 98 characters
Line 16: 17 words, 120 characters
Line 17: 0 words, 0 characters
Line 18: 17 words, 147 characters
Line 19: 2 words, 14 characters
Line 20: 3 words, 32 characters
Line 21: 1 words, 5 characters
Line 22: 8 words, 69 characters
Line 23: 8 words, 68 characters
Line 24: 10 words, 71 characters
Line 25: 8 words, 64 characters
Line 26: 5 words, 51 characters
Line 27: 10 words, 86 characters
Line 28: 8 words, 73 characters
Line 29: 19 words, 172 characters
Line 30: 8 words, 64 characters
Line 31: 0 words, 0 characters
Line 32: 1 words, 9 characters
Line 33: 9 words, 66 characters
Line 34: 14 words, 115 characters
Line 35: 5 words, 41 characters
Line 36: 4 words, 35 characters
Line 37: 18 words, 147 characters
Line 38: 12 words, 102 characters
Line 39: 19 words, 153 characters
Line 40: 2 words, 23 characters
Line 41: 14 words, 108 characters
Line 42: 16 words, 126 characters
Line 43: 12 words, 107 characters
Line 44: 11 words, 108 characters
Line 45: 15 words, 126 characters
Line 46: 1 words, 7 characters
Line 47: 6 words, 43 characters
Line 48: 16 words, 141 characters
Line 49: 5 words, 49 characters
Line 50: 7 words, 59 characters
Line 51: 20 words, 175 characters
Line 52: 18 words, 167 characters
Line 53: 1 words, 5 characters
Line 54: 3 words, 23 characters
Line 55: 4 words, 28 characters
Line 56: 10 words, 88 characters
Line 57: 20 words, 178 characters
Line 58: 13 words, 119 characters
Line 59: 2 words, 15 characters
Line 60: 1 words, 12 characters
Line 61: 14 words, 123 characters
Line 62: 15 words, 137 characters
Line 63: 5 words, 33 characters
Line 64: 3 words, 23 characters
Line 65: 3 words, 27 characters
Line 66: 1 words, 3 characters
Line 67: 1 words, 4 characters
Line 68: 1 words, 5 characters
Line 69: 15 words, 122 characters
Line 70: 4 words, 25 characters
Line 71: 13 words, 99 characters
Line 72: 15 words, 140 characters
Line 73: 10 words, 81 characters
Line 74: 16 words, 136 characters
Line 75: 5 words, 45 characters
Line 76: 5 words, 40 characters
Line 77: 14 words, 103 characters
Line 78: 17 words, 132 characters
Line 79: 12 words, 93 characters
Line 80: 10 words, 68 characters
Line 81: 15 words, 146 characters
Line 82: 4 words, 30 characters
Line 83: 4 words, 29 characters
Line 84: 3 words, 29 characters
Line 85: 9 words, 64 characters
Line 86: 18 words, 144 characters
Line 87: 15 words, 143 characters
Line 88: 14 words, 123 characters
Line 89: 7 words, 55 characters
Line 90: 14 words, 100 characters
Line 91: 4 words, 29 characters
Line 92: 18 words, 147 characters
Line 93: 13 words, 100 characters
Line 94: 4 words, 27 characters
Line 95: 15 words, 137 characters
Line 96: 10 words, 93 characters
Line 97: 16 words, 135 characters
Line 98: 0 words, 0 characters
Line 99: 3 words, 32 characters
Line 100: 1 words, 11 characters
Line 101: 14 words, 120 characters
Line 102: 7 words, 46 characters
Line 103: 5 words, 41 characters
Line 104: 7 words, 61 characters
Line 105: 17 words, 161 characters
Line 106: 7 words, 52 characters
Line 107: 11 words, 98 characters
Line 108: 3 words, 34 characters
Line 109: 10 words, 67 characters
Line 110: 16 words, 133 characters
Line 111: 11 words, 88 characters
Line 112: 5 words, 46 characters
Line 113: 5 words, 26 characters
Line 114: 6 words, 37 characters
Line 115: 14 words, 112 characters
Line 116: 3 words, 25 characters
Line 117: 12 words, 103 characters
Line 118: 14 words, 119 characters
Line 119: 6 words, 51 characters
Line 120: 12 words, 97 characters
Line 121: 13 words, 117 characters
Line 122: 16 words, 137 characters
Line 123: 14 words, 125 characters
Line 124: 8 words, 64 characters
Line 125: 19 words, 159 characters
Line 126: 17 words, 138 characters
Line 127: 14 words, 142 characters
Line 128: 4 words, 36 characters
Line 129: 7 words, 63 characters
Line 130: 10 words, 74 characters
Line 131: 7 words, 43 characters
Line 132: 6 words, 47 characters
Line 133: 14 words, 121 characters
Line 134: 17 words, 133 characters
Line 135: 19 words, 149 characters
Line 136: 20 words, 161 characters
Line 137: 0 words, 0 characters
Line 138: 5 words, 52 characters
Line 139: 2 words, 18 characters
Line 140: 1 words, 8 characters
Line 141: 19 words, 145 characters
Line 142: 17 words, 130 characters
Line 143: 19 words, 165 characters
Line 144: 13 words, 113 characters
Line 145: 7 words, 69 characters
Line 146: 18 words, 157 characters
Line 147: 7 words, 52 characters
Line 148: 2 words, 13 characters
Line 149: 18 words, 143 characters
Line 150: 10 words, 84 characters
Line 151: 5 words, 49 characters
Line 152: 18 words, 164 characters
Line 153: 15 words, 127 characters
Line 154: 19 words, 161 characters
Line 155: 2 words, 13 characters
Line 156: 20 words, 179 characters
Line 157: 4 words, 40 characters
Line 158: 19 words, 163 characters
Line 159: 17 words, 126 characters
Line 160: 3 words, 29 characters
Line 161: 17 words, 147 characters
Line 162: 2 words, 22 characters
Line 163: 8 words, 64 characters
Line 164: 6 words, 49 characters
Line 165: 19 words, 152 characters
Line 166: 3 words, 26 characters
Line 167: 10 words, 84 characters
Line 168: 9 words, 76 characters
Line 169: 19 words, 143 characters
Line 170: 10 words, 77 characters
Line 171: 12 words, 111 characters
Line 172: 17 words, 141 characters
Line 173: 2 words, 11 characters
Line 174: 11 words, 103 characters
Line 175: 13 words, 110 characters
Line 176: 14 words, 96 characters
Line 177: 6 words, 56 characters
Line 178: 14 words, 110 characters
Line 179: 2 words, 18 characters
Line 180: 3 words, 25 characters
Line 181: 4 words, 36 characters
Line 182: 1 words, 10 characters
Line 183: 5 words, 50 characters
Line 184: 5 words, 37 characters
Line 185: 12 words, 92 characters
Line 186: 3 words, 15 characters
Line 187: 11 words, 96 characters
Line 188: 5 words, 38 characters
Line 189: 0 words, 0 characters
Line 190: 2 words, 23 characters
Line 191: 0 words, 0 characters
Line 192: 15 words, 97 characters
Line 193: 8 words, 62 characters
Line 194: 20 words, 168 characters
Line 195: 16 words, 156 characters
Line 196: 9 words, 73 characters
Line 197: 1 words, 7 characters
Line 198: 9 words, 78 characters
Line 199: 3 words, 22 characters
Line 200: 13 words, 120 characters
Line 201: 6 words, 57 characters
Line 202: 8 words, 66 characters
Line 203: 3 words, 29 characters
Line 204: 0 words, 0 characters
Line 205: 14 words, 123 characters
Line 206: 2 words, 10 characters
Line 207: 2 words, 16 characters
Line 208: 13 words, 101 characters
Line 209: 7 words, 39 characters
Line 210: 18 words, 164 characters
Line 211: 20 words, 192 characters
Line 212: 2 words, 13 characters
Line 213: 11 words, 86 characters
Line 214: 13 words, 99 characters
Line 215: 4 words, 32 characters
Line 216: 6 words, 67 characters
Line 217: 19 words, 147 characters
Line 218: 13 words, 120 characters
Line 219: 20 words, 188 characters
Line 220: 4 words, 42 characters
Line 221: 13 words, 113 characters
Line 222: 14 words, 126 characters
Line 223: 3 words, 22 characters
Line 224: 6 words, 49 characters
Line 225: 17 words, 136 characters
Line 226: 20 words, 167 characters
Line 227: 17 words, 154 characters
Line 228: 16 words, 136 characters
Line 229: 8 words, 76 characters
Line 230: 14 words, 133 characters
Line 231: 0 words, 0 characters
Line 232: 12 words, 87 characters
Line 233: 8 words, 71 characters
Line 234: 8 words, 66 characters
Line 235: 15 words, 123 characters
Line 236: 4 words, 37 characters
Line 237: 13 words, 125 characters
Line 238: 11 words, 92 characters
Line 239: 5 words, 46 characters
Line 240: 16 words, 132 characters
Line 241: 9 words, 74 characters
Line 242: 17 words, 153 characters
Line 243: 15 words, 142 characters
Total: 243 lines, 2381 words, 20027 characters
